filename,suit,rank,rarity
card_hearts_02.png,Hearts,02,common
card_hearts_03.png,Hearts,03,common
card_hearts_04.png,Hearts,04,common
card_hearts_05.png,Hearts,05,common
card_hearts_06.png,Hearts,06,common
card_hearts_07.png,Hearts,07,common
card_hearts_08.png,Hearts,08,common
card_hearts_09.png,Hearts,09,common
card_hearts_10.png,Hearts,10,common
card_hearts_J.png,Hearts,J,common
card_hearts_Q.png,Hearts,Q,common
card_hearts_K.png,Hearts,K,common
card_hearts_A.png,Hearts,A,common
card_diamonds_02.png,Diamonds,02,common
card_diamonds_03.png,Diamonds,03,common
card_diamonds_04.png,Diamonds,04,common
card_diamonds_05.png,Diamonds,05,common
card_diamonds_06.png,Diamonds,06,common
card_diamonds_07.png,Diamonds,07,common
card_diamonds_08.png,Diamonds,08,common
card_diamonds_09.png,Diamonds,09,common
card_diamonds_10.png,Diamonds,10,common
card_diamonds_J.png,Diamonds,J,common
card_diamonds_Q.png,Diamonds,Q,common
card_diamonds_K.png,Diamonds,K,common
card_diamonds_A.png,Diamonds,A,common
card_clubs_02.png,Clubs,02,common
card_clubs_03.png,Clubs,03,common
card_clubs_04.png,Clubs,04,common
card_clubs_05.png,Clubs,05,common
card_clubs_06.png,Clubs,06,common
card_clubs_07.png,Clubs,07,common
card_clubs_08.png,Clubs,08,common
card_clubs_09.png,Clubs,09,common
card_clubs_10.png,Clubs,10,common
card_clubs_J.png,Clubs,J,common
card_clubs_Q.png,Clubs,Q,common
card_clubs_K.png,Clubs,K,common
card_clubs_A.png,Clubs,A,common
card_spades_02.png,Spades,02,common
card_spades_03.png,Spades,03,common
card_spades_04.png,Spades,04,common
card_spades_05.png,Spades,05,common
card_spades_06.png,Spades,06,common
card_spades_07.png,Spades,07,common
card_spades_08.png,Spades,08,common
card_spades_09.png,Spades,09,common
card_spades_10.png,Spades,10,common
card_spades_J.png,Spades,J,common
card_spades_Q.png,Spades,Q,common
card_spades_K.png,Spades,K,common
card_spades_A.png,Spades,A,common
